Rk;Name;Born;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Joe Nieuwendyk;1966;F;1257;564;562;1126;677;155;;;;;337;215;12;93;7;356;204;2;93;14;693;419;14;186;21;37.2%;;;;;;;;;;0,449;0,447;0,896;3242;17.4%;14;22;5996;4113;59.31%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Mats Sundin;1971;F;1346;564;785;1349;1093;73;;;;;373;160;31;96;15;467;293;25;126;14;840;453;56;222;29;33.6%;;;;;;;;;;0,419;0,583;1,002;4015;14.1%;182;134;10 218;8307;55.16%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Mike Modano;1970;F;1499;561;813;1374;926;114;;;;;375;157;29;92;9;459;336;18;139;11;834;493;47;231;20;35.9%;;;;;;;;;;0,374;0,542;0,917;4273;13.1%;113;118;8749;8161;51.74%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Guy Lafleur;1951;F;1126;560;793;1353;399;446;;;;;403;154;3;98;0;525;266;2;116;0;928;420;5;214;0;31.0%;;;;;;;;;;0,497;0,704;1,202;3516;15.9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Johnny Bucyk;1935;F;1540;556;813;1369;493;-7;;;;;393;159;4;92;0;529;284;0;95;0;922;443;4;187;0;32.4%;;;;;;;;;;0,361;0,528;0,889;3086;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Ron Francis;1963;F;1731;549;1249;1798;977;-18;;;;;349;188;12;79;4;691;539;19;196;14;1040;727;31;275;18;40.4%;;;;;;;;;;0,317;0,722;1,039;3756;14.6%;;;4773;3940;54.78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Michel Goulet;1960;F;1089;548;605;1153;825;99;;;;;353;179;16;63;3;402;194;9;63;3;755;373;25;126;6;32.4%;;;;;;;;;;0,503;0,556;1,059;3140;17.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Maurice Richard;1921;F;978;544;422;966;1287;18;;;;;397;143;4;84;0;309;111;2;90;0;706;254;6;174;0;26.3%;;;;;;;;;;0,556;0,431;0,988;166;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Stan Mikita;1940;F;1396;541;926;1467;1264;329;;;;;379;150;12;84;0;608;312;6;133;0;987;462;18;217;0;31.5%;;;;;;;;;;0,388;0,663;1,051;4482;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Keith Tkachuk;1972;F;1201;538;527;1065;2219;33;;;;;313;212;13;72;8;352;161;14;77;12;665;373;27;149;20;35.0%;;;;;;;;;;0,448;0,439;0,887;3530;15.2%;417;84;3892;3780;50.73%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
